name,shape_id,lat,lon,admin1,admin2
A Dos Negros,12082587B59796330123670,-9.098913038132276,39.342636045746616,Portugal,Leiria
Aba3As,12082587B57242054233853,-7.690244932084475,41.22114063268213,Portugal,Vila Real
Abade De Neiva,12082587B33943470018107,-8.641310181832104,41.555043880617134,Portugal,Braga
Abadim,12082587B912949379504,-7.982317223585747,41.563873719518526,Portugal,Braga
Abambres,12082587B70322756193649,-7.189128941725615,41.559552466730125,Portugal,Bragança
Abedim,12082587B10416964722071,-8.513134263571411,41.98052742750787,Portugal,Viana do Castelo
Abela,12082587B47283056596746,-8.524226169697803,37.9991256713209,Portugal,Setúbal
Abitureiras,12082587B82473187910304,-8.784911505660942,39.31654930501023,Portugal,Santarém
Abiul,12082587B71165886777594,-8.513761558566472,39.8734936535776,Portugal,Leiria
Aboim Da N5Brega E Gondomar,12082587B70570495748786,-8.380529823915126,41.74914584197466,Portugal,Braga
Aboim Das Cho5As,12082587B51290142787367,-8.45127098999666,41.92489441156987,Portugal,Viana do Castelo
Aborim,12082587B86209922906653,-8.624249932577353,41.6122999819662,Portugal,Braga
Abr3,12082587B65691398717153,-8.766799204141059,39.44279503688755,Portugal,Santarém
Abragdo,12082587B70341236065112,-8.21697222034677,41.162669281642934,Portugal,Porto
Abraveses,12082587B18296221248532,-7.907394943886627,40.69354720667379,Portugal,Viseu
Abreiro,12082587B81642179857032,-7.316985955800257,41.35946308181989,Portugal,Bragança
Abrunhosa-A-Velha,12082587B64225204317045,-7.626460157590772,40.57782373098492,Portugal,Guarda
Adoreira,12082587B97467204904133,-7.06865484633345,41.13946245562231,Portugal,Bragança
Admes,12082587B96451785954694,-8.564552093301252,41.52567365766236,Portugal,Braga
Admo,12082587B1163218355969,-7.160759876717571,40.4500887640268,Portugal,Guarda
Ada3Fe,12082587B45331013567747,-8.39759661019875,41.58889148026639,Portugal,Braga
Adorigo,12082587B76965531075477,-7.610071376057376,41.147306533209594,Portugal,Viseu
Afife,12082587B81686092018771,-8.847071589749383,41.77454977809584,Portugal,Viana do Castelo
Agilde,12082587B21740260826719,-8.121878709505438,41.36334415833905,Portugal,Porto
Agregam3O Das Freguesias Sul De Pinhel,12082587B8131341347125,-7.152438812621694,40.652356166780024,Portugal,Guarda
Agrela,12082587B88695951598355,-8.467235183888114,41.2566946943981,Portugal,Porto
Agrochmo,12082587B61982549430030,-7.026262807958465,41.69591339452938,Portugal,Bragança
Agua Longa,12082587B76562041394061,-8.500127618946067,41.26414821603406,Portugal,Porto
Agua Rev-S E Crasto,12082587B2208635685493,-7.3323793012720415,41.5484705787066,Portugal,Vila Real
Aguada De Cima,12082587B84824864265708,-8.408726179868147,40.52427673046686,Portugal,Aveiro
Agualonga,12082587B39812117189531,-8.614477225614511,41.87670727150366,Portugal,Viana do Castelo
Aguas Belas,12082587B49013708289911,-7.770349814259856,40.0203060012682,Portugal,Castelo Branco
Aguas Frias,12082587B2936557394405,-7.361259861111379,41.763795735068896,Portugal,Vila Real
Aguas Livres,12082587B32726240312965,-9.21795835300931,38.74710769166915,Portugal,Guarda
Aguas Santas,12082587B15328224762801,-8.575598632735403,41.20802206801484,Portugal,Porto
Aguda,12082587B75161733205828,-8.316950713087953,39.93422405914049,Portugal,Leiria
Agui,12082587B55773715232333,-8.44249013387941,41.882769510602046,Portugal,Viana do Castelo
Aguiar,12082587B1619549041870,-7.97029040929825,38.38759959946959,Portugal,Évora
Aguiar De Sousa,12082587B60343398078163,-8.438203172051447,41.12154406803037,Portugal,Porto
Aguieiras,12082587B97400507717251,-7.195016495617498,41.70232560567825,Portugal,Vila Real
Aimo,12082587B67196936306769,-8.200782337634715,41.302684143258645,Portugal,Porto
Air3Es,12082587B56939973872516,-8.19630926470138,41.31972110329398,Portugal,Porto
Air3,12082587B83855373201131,-8.556814085151066,41.51470955391625,Portugal,Braga
Ajuda,12082587B28268877742405,-9.198016295654385,38.71319871011462,Portugal,Guarda
Alagoa,12082587B67575235637139,-7.524861575260893,39.363202741000634,Portugal,Portalegre
Albergaria-A-Velha E Valmaior,12082587B97477545100090,-8.479482295002267,40.691513398509144,Portugal,Aveiro
Albufeira E Olhos De 1Gua,12082587B38731646200339,-8.22765005223422,37.09634989643967,Portugal,Faro
Alburitel,12082587B56444454353234,-8.52363479005702,39.639757633754115,Portugal,Santarém
Alcabideche,12082587B30663264685310,-9.419995351908362,38.74189168086716,Portugal,Lisbon
Alc3,12082587B42142912222829,-8.183707102833466,38.400101446731796,Portugal,Évora
Alcafache,12082587B25090072223530,-7.862087193872918,40.594474567988875,Portugal,Viseu
Alcaide,12082587B12994897048641,-7.4269726539653815,40.13093842948312,Portugal,Castelo Branco
Alcains,12082587B20360512634551,-7.451060835370938,39.921236399449484,Portugal,Guarda
Alcanede,12082587B19190827755710,-8.82234837693989,39.41989298362074,Portugal,Santarém
Alcanhmes,12082587B78011225402914,-8.660427921767734,39.2890665740325,Portugal,Santarém
Alc3Ntara,12082587B31162098789651,-9.182614777458268,38.70828052545992,Portugal,Guarda
Alcaravela,12082587B39505189978836,-8.113997296075588,39.57786968598454,Portugal,Santarém
Alcaria,12082587B10804527990566,-7.515092797073421,40.19407521218422,Portugal,Castelo Branco
Alcaria Ruiva,12082587B24203490195563,-7.8179751871516,37.75709872494215,Portugal,Beja
Alcobertas,12082587B19805875461476,-8.907066929346765,39.418983549806256,Portugal,Leiria
Alcochete,12082587B90700886383731,-8.909441782450497,38.73534453382711,Portugal,Setúbal
Alcoentre,12082587B98526286459872,-8.96261173959936,39.20996354914725,Portugal,Lisbon
Alcofra,12082587B67365213552362,-8.18005032793097,40.627794900797646,Portugal,Viseu
Alcongosta,12082587B88495769150751,-7.492067017798875,40.11432462906799,Portugal,Castelo Branco
Ald3O,12082587B9558913290309,-8.272509917098944,41.46199055502014,Portugal,Braga
Aldeia Da Mata,12082587B30796137306241,-7.7270969817866595,39.310840588509855,Portugal,Portalegre
Aldeia Da Ponte,12082587B27474242672480,-6.860665243694051,40.410681276146384,Portugal,Guarda
Aldeia Das Dez,12082587B56339491347484,-7.854381997227132,40.28335018899141,Portugal,Guarda
Aldeia De Santa Margarida,12082587B15752747670118,-7.283067236650437,40.06147815654082,Portugal,Castelo Branco
Aldeia De S9O Francisco De Assis,12082587B19356029484794,-7.738326850689329,40.147543145152724,Portugal,Guarda
Aldeia Do Bispo,12082587B96716746506129,-7.061926444884413,40.4025666925814,Portugal,Guarda
Aldeia Dos Fernandes,12082587B8191451290089,-8.188185218915946,37.56965979868667,Portugal,Beja
Aldeia Nova,12082587B5504781262424,-7.420691168932378,40.72295786626882,Portugal,Guarda
Aldeia Velha,12082587B5536990381745,-7.879838851094456,39.244876266458,Portugal,Portalegre
Aldeia Vi1Osa,12082587B58629332920611,-7.320308757572046,40.580997722625554,Portugal,Guarda
Aldeias,12082587B77121516024145,-7.71552792640508,41.11570261997189,Portugal,Viseu
Aldreu,12082587B21537215072760,-8.710334148016171,41.598551674459976,Portugal,Braga
Alegrete,12082587B18757216478315,-7.30388384004985,39.235297380074954,Portugal,Portalegre
Alfaido,12082587B37614764980978,-6.713327491396069,41.765231359454994,Portugal,Bragança
Alfaiates,12082587B64407122437067,-6.913233341766961,40.37927192721979,Portugal,Guarda
Alf3Ndega Da F4,12082587B58914978736427,-6.949632206143945,41.34739432598856,Portugal,Bragança
Alfarela De Jales,12082587B54434326160280,-7.557990798579064,41.451869367315076,Portugal,Vila Real
Alfarelos,12082587B98490287600666,-8.649892206150405,40.14953536373831,Portugal,Coimbra
Alfeizer-O,12082587B33574603873153,-9.096963421692205,39.48953864824142,Portugal,Leiria
Alfena,12082587B25067685312871,-8.524716976604708,41.23768550376932,Portugal,Porto
Alferce,12082587B96014673031173,-8.482102506164589,37.32537987296468,Portugal,Faro
Alfragide,12082587B75789098280764,-9.215836668397532,38.73519292236586,Portugal,Guarda
Algeriz,12082587B29970830227843,-7.379259011669901,41.58424331779315,Portugal,Vila Real
Algodres,12082587B81494105617316,-7.5215773041048894,40.650451976040245,Portugal,Guarda
Alguber,12082587B8718697369823,-9.005837334172881,39.27453434391481,Portugal,Guarda
Algueir3O-Mem Martins,12082587B21035520180691,-9.333583301100274,38.805129039940944,Portugal,Lisbon
Alhadas,12082587B37224667096729,-8.791964509613706,40.19005851805488,Portugal,Coimbra
Alhos Vedros,12082587B14518732554134,-9.013136285069805,38.64360300163771,Portugal,Setúbal
Alij,12082587B99390836958909,-7.460468748683764,41.283888878403125,Portugal,Vila Real
Aljezur,12082587B48230440338884,-8.793786504557989,37.30082760817714,Portugal,Faro
Aljubarrota,12082587B62010432304579,-8.917482017673851,39.548455965123104,Portugal,Leiria
Almaceda,12082587B45567946771331,-7.666654208614552,39.99433680134843,Portugal,Castelo Branco
Almagreira,12082587B13030478778241,-8.681786489738322,39.98740920929967,Portugal,Leiria
Almalagu-S,12082587B24277518927548,-8.39150569422929,40.132727965068604,Portugal,Coimbra
Almancil,12082587B93651137939582,-8.019704944956148,37.061919401193755,Portugal,Faro
Almeida,12082587B68494092319283,-6.904236660995006,40.73035243315723,Portugal,Guarda
Almeirim,12082587B69859617305000,-8.633411315402007,39.1877510960728,Portugal,Santarém
Almendra,12082587B62716896646732,-7.04021484381731,41.0002041426976,Portugal,Guarda
Almofala,12082587B6915132746119,-7.783265850534797,40.95789539220344,Portugal,Viseu
